obs_id;lat_wgs84;lon_wgs84;obs_date;obs_time;obs_time_zone;site_id;site_name;site_country;upstream_basin_area;upstream_basin_area_unit;drainage_region_name;param_code;source_param_code;param_name;source_param_name;obs_value;source_obs_value;detection_limit_flag;param_form;source_param_form;unit;source_unit;filtration;source;obs_percentile;obs_iqr_outlier;site_ts_availability;site_ts_continuity;WATERBASE_meta_procedureAnalysedMatrix;WATERBASE_meta_Remarks
c6de6a00836083f97ca7b46cc126a2793a890f799d19e64f0d54cc3b5d1db9bb;61.41152;29.4006;2019-02-05;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.3;1.3;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.19895678092399405;no;0.26;0.13;W;
17f0a86b37a3ec732f691698eed63456fea7ea930d5a09a20e064a510b615fd7;61.41152;29.4006;2019-03-05;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.5;1.5;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.28036512667660207;no;0.26;0.13;W;
d6e0cf6502a8ebdec6535482965a7a8faab756f232494f4567456254b1409322;61.41152;29.4006;2019-04-02;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;0.8;0.8;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.02440387481371088;no;0.26;0.13;W;
16cabf290973661957aedc05be7dd87c4037a2fa82b598530e4a6a39a648a74c;61.41152;29.4006;2019-05-07;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;0.8;0.8;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.02440387481371088;no;0.26;0.13;W;
aa3cd9d6a270023a1288581ff3bc776f7df47710d930f5fc949935a55dcafc9d;61.41152;29.4006;2019-07-02;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.1;1.1;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.11512667660208643;no;0.26;0.13;W;
47b79255f4bdc2f7ab847ad569ca1644fb823897e0929fe6f156d1d65cde1539;61.41152;29.4006;2019-08-06;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.0;1.0;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.08289865871833085;no;0.26;0.13;W;
d130e7dba1b41d12664b9f476541a2b3b7c4864e3921454c38affadbbe70581b;61.41152;29.4006;2019-09-03;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.0;1.0;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.08289865871833085;no;0.26;0.13;W;
745556e9eed8d6e26468e36019d9cfdce575c08cf071fd938bcb52191e92f54d;61.41152;29.4006;2019-10-01;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;0.6;0.6;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.00838301043219076;no;0.26;0.13;W;
0459f2ce707266783e3319f226c4c1750bb92b087ad7417ec69f160a5fc2db40;61.41152;29.4006;2019-11-12;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.1;1.1;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.11512667660208643;no;0.26;0.13;W;
e66e5a48b9ab6948044af92a48eed7a64bf8aac1598ae7da9ec205d230a94836;61.41152;29.4006;2019-12-03;00:00:00;;FISW_739;HIITOLANJOKI-KOKKOLANJOKI S;FI;;;;BOD7;EEA_3133-02-6;Biochemical Oxygen Demand (BOD7);BOD7;1.2;1.2;;O2;O2;mg/l;mg{O2}/L;unfiltered;WATERBASE;0.1564207650273224;no;0.26;0.13;W;
